ALL$022116746	1
ALL$040364690	1
ALL$100000231	16
ALL$100000976	2
ALL$100000983	2
ALL$10000132-4	1
ALL$100001343	1
ALL$100001718	28
ALL$100001866	2
ALL$100002773	5
ALL$100002811	3
ALL$100003400	1
ALL$100003618	2
ALL$100005524	1
ALL$10000570-6	4
ALL$100005772	15
ALL$100005845	1
ALL$100005888	6
